"R1_Read_Count"	"R2_Read_Count"	"R4_Read_Count"
"CHAT"	0	0	178
"RCC1"	2640	2275	2038
"CHD1"	16514	17687	25880
"CHD2"	19114	13987	17738
"CHD3"	11320	19089	5972
"CHD4"	39296	16499	17332
"AKR1C4"	0	0	0
"CHEK1"	2140	2859	7302
"FOXN3"	9220	8430	7041
"CHGA"	0	0	0
"CHGB"	0	0	7
"CHI3L1"	0	2442	474
"CHI3L2"	1382	94	1030
"CHIT1"	84	141	123
"CHKA"	3139	6447	716
"CHKB"	2308	561	1848
"CHM"	1396	2609	2144
"CHML"	3421	1284	2552
"CHN1"	56	880	54
"CHN2"	69	1641	371
"CHRM1"	0	0	0
"CHRM2"	0	0	6
"LYST"	19494	33256	7181
"CHRM3"	0	43	54
"CHRM4"	35	26	15
"CHRM5"	0	8	3
"CHRNA1"	98	1069	0
"CHRNA2"	0	0	0
"CHRNA3"	258	16	0
"CHRNA4"	0	0	0
"CHRNA5"	181	112	22
"CHRNA7"	14	63	0
"CHRNB1"	574	288	651
"CHRNB2"	1	29	4
"CHRNB3"	0	0	0
"CHRNB4"	246	283	0
"CHRND"	0	0	0
"CHRNE"	112	9	22
"CHRNG"	1	0	0
"CHUK"	4152	3584	3800
"CIDEA"	0	0	0
"CKB"	155	243	96
"CIRBP"	20907	9306	13493
"CISH"	224	848	246
"TBCB"	2322	1684	2407
"CKBP1"	0	0	0
"CKM"	0	0	48
"CKMT1B"	0	0	0
"CKMT2"	0	34	361
"ERCC8"	1573	1165	1765
"CKS1B"	1174	1091	6780
"CKS2"	1906	1863	5855
"AP2M1"	5682	4456	6272
"AP1S1"	1450	267	2530
"AP2S1"	2053	2327	1773
"AP3S1"	2724	5304	2014
"CLC"	415	13525	2441
"CLCA1"	0	0	277
"CLCN1"	0	0	4
"CLCN2"	76	94	75
"CLCN3"	8359	4923	8424
"CLCN4"	1577	4094	236
"CLCN5"	217	705	264
"CLCN6"	1066	1045	1075
"CLCN7"	14206	2089	5660
"CLCNKA"	0	0	0
"CLCNKB"	0	0	0
"CLU"	115	128	184
"CLIC1"	24010	12479	25549
"CLIC2"	621	260	755
"CLK1"	44902	18817	17741
"CLK2"	2243	2785	2610
"CLK2P1"	0	0	2
"CLK3"	5361	2567	3596
"TPP1"	1427	2544	2586
"CLN3"	1510	815	1177
"CLN5"	1627	933	1183
"CLNS1AP1"	0	0	0
